Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
St. Kitts and Nevis,KNA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Kitts and Nevis,KNA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.76190833409524,2.000000001,2.000000001,2.000000001,1.97487273321145,1.92127814947601,1.95921923598161,2.05323240851763,2.16979583233333,2.61467083283333,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
St. Kitts and Nevis,KNA,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43200441.4814815,48137645.1851852,57544366.2962963,67214814.8148148,79844444.4444444,86622222.2222222,87974074.0740741,98703703.7037037,109707407.407407,128996296.296296,145985185.185185,168570370.37037,183351851.851852,212800000,213533333.333333,231448148.148148,251855555.555556,282151851.851852,302525925.925926,318355555.555556,355040225.410596,357876394.913432,378111444.778111,391558224.891558,424024024.024024,442976235.494754,426068624.179735,467998370.37037,512065370.37037,612075000,658340703.703704,743552925.925926,740371851.851852,749534037.037037,806446925.925926,801604296.296296,860296296.296296,893511111.111111,894222222.222222,950218518.518518,1011577777.77778,1032848148.14815,1091755555.55556,860622222.222222,827422222.222222,953229629.62963,1049233111.11111
St. Kitts and Nevis,KNA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8740,8780,9150,9860,10480,11240,11800,12580,12300,12640,14090,14940,15220,14630,15860,18140,19510,20210,22860,22160,22540,23330,22470,23870,24740,24740,26230,27870,29080,31500,26170,25460,30330,32540
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,56660,56247,55404,54391,53255,52016,50683,49269,47772,46135,44968,44583,44416,44242,44056,43888,43740,43603,43465,43278,43097,42953,42794,42600,42380,42144,41889,41617,41321,40992,40636,40542,40900,41447,42001,42550,43097,43656,44230,44825,45461,45986,46264,46431,46580,46725,46874,47015,47156,47286,47403,47581,47727,47767,47789,47790,47788,47785,47761,47712,47642,47606,47657,47755
St. Lucia,LCA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.4686221696646,9.95025974203358,10.1692844097677,8.49765205875845,8.59333767077302,9.85815135287987,13.1257278693241,14.2524308510828,14.3390379931358,15.1846289244864,14.9423273236571,16.0157752206284,16.3962202027987,17.6608901084202,18.7647199751165,19.8758143957012,21.0592590220424,23.360333273044,22.6153475279938,25.5648122961486,30.5749566895284,33.9524836021099,36.1719322582185,36.3558580820767,39.7712967737143,30.9513783346563,37.9316581118115,61.3440076757652,32.3527651548467,40.5310581379449,29.4366681321022,27.7283173611782,29.5447284160335,32.7029238527889,32.0360653359989,31.042320627576,33.1146121405033,31.5143123634625,32.3288985161415,46.6745210067704,46.9414606784177,40.5853931415886,..
St. Lucia,LCA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15516307.7,17122202.7,18907707.6,20290497.8,23113174.2,31803855.3,46728176,57458862.1,65679760.2,79175705,82343009.7,97981226.6,100852543.2,113598527.8,128275618.8,141571045.9,152941378.9,184359352.2,188238652.5,227013639.5,258544438.3,293240194.2,338775693.7,362713778.4,422787032.2,375696061,481016076.9,837871627.4,438816167,584783262.7,455833314.8,432702877.7,479336037.4,537109187.7,529980934.5,543662556.6,621896095.4,615495530,638927013.2,733837563.5,892737914.9,909317236.5,..
St. Lucia,LCA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.76190833409524,2.000000001,2.000000001,2.000000001,1.97487273321145,1.92127814947601,1.95921923598161,2.05323240851763,2.16979583233333,2.61467083283333,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
St. Lucia,LCA,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,160364220.481481,183221159.111111,172077947.148148,185929578.111111,238777696,268966204.814815,322614800.296296,356004455.259259,403151312.925926,458048582,521420084.703704,551072185.185185,611779481.481481,615096296.296296,643220851.851852,683599962.962963,712277962.962963,726242925.925926,789198296.296296,832349148.148148,887992592.592592,845608518.518518,863678185.185185,936570629.62963,997676296.296296,1063045629.62963,1213826592.59259,1268112444.44444,1365857333.33333,1356348259.25926,1442802851.85185,1548522111.11111,1560508962.96296,1622408000,1643485185.18519,1657440740.74074,1757844444.44444,1881303703.7037,1958655555.55556,1966981549.02444,1462425994.23221,1759696401.63261,2146903788.17323,2304525938.52447
St. Lucia,LCA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6040,6180,6790,6820,7010,7150,7470,7460,7930,8210,8820,8610,8830,9200,9920,10130,11260,11600,12340,12210,12380,13270,13090,13640,13480,13110,14340,15110,16490,17470,14470,17890,21570,22980
